strategy,coverage,accepted_mae
RICA2 uncertainty,0.2162883845126836,5.201470548208844
RICA2 uncertainty,0.21762349799732977,5.22151671325776
RICA2 uncertainty,0.21895861148197596,5.196508580441695
RICA2 uncertainty,0.22029372496662217,5.195973195266538
RICA2 uncertainty,0.22162883845126835,5.177742163634977
RICA2 uncertainty,0.22296395193591456,5.16771285929633
RICA2 uncertainty,0.22429906542056074,5.218066840046746
RICA2 uncertainty,0.22563417890520696,5.221541557893064
RICA2 uncertainty,0.22696929238985314,5.246404616372546
RICA2 uncertainty,0.22830440587449932,5.224846445847494
RICA2 uncertainty,0.22963951935914553,5.3156162718657445
RICA2 uncertainty,0.23097463284379172,5.30239970832632
RICA2 uncertainty,0.23230974632843793,5.320121036251552
RICA2 uncertainty,0.2336448598130841,5.327678969591851
RICA2 uncertainty,0.2349799732977303,5.340759814941235
RICA2 uncertainty,0.2363150867823765,5.344841573000117
RICA2 uncertainty,0.2376502002670227,5.332341134652825
RICA2 uncertainty,0.2389853137516689,5.384522118286209
RICA2 uncertainty,0.24032042723631508,5.356173630725173
RICA2 uncertainty,0.2416555407209613,5.380731487179489
RICA2 uncertainty,0.24299065420560748,5.361907033511729
RICA2 uncertainty,0.24432576769025366,5.373466816271747
RICA2 uncertainty,0.24566088117489987,5.36354809886492
RICA2 uncertainty,0.24699599465954605,5.344447986986986
RICA2 uncertainty,0.24833110814419226,5.3685076006838335
RICA2 uncertainty,0.24966622162883845,5.35628454865698
RICA2 uncertainty,0.25100133511348466,5.340879608987964
RICA2 uncertainty,0.2523364485981308,5.323601251253212
RICA2 uncertainty,0.253671562082777,5.298497932408196
RICA2 uncertainty,0.25500667556742324,5.2838139235622235
RICA2 uncertainty,0.25634178905206945,5.279361955790465
RICA2 uncertainty,0.2576769025367156,5.289083283213132
RICA2 uncertainty,0.2590120160213618,5.275726340434596
RICA2 uncertainty,0.260347129506008,5.2527199407265694
RICA2 uncertainty,0.2616822429906542,5.319938183271759
RICA2 uncertainty,0.2630173564753004,5.305119426253479
RICA2 uncertainty,0.2643524699599466,5.288562128173578
RICA2 uncertainty,0.2656875834445928,5.319087971035555
RICA2 uncertainty,0.26702269692923897,5.319995951056476
RICA2 uncertainty,0.2683578104138852,5.329255732849458
RICA2 uncertainty,0.2696929238985314,5.308678713529413
RICA2 uncertainty,0.27102803738317754,5.334207274173864
RICA2 uncertainty,0.27236315086782376,5.312440491657627
RICA2 uncertainty,0.27369826435246997,5.289615516662594
RICA2 uncertainty,0.2750333778371162,5.2939622781809055
RICA2 uncertainty,0.27636849132176233,5.309010601306446
RICA2 uncertainty,0.27770360480640854,5.329710316002508
RICA2 uncertainty,0.27903871829105475,5.344109980886771
RICA2 uncertainty,0.2803738317757009,5.419070094288101
RICA2 uncertainty,0.2817089452603471,5.413342659256608
RICA2 uncertainty,0.28304405874499333,5.419435482517865
RICA2 uncertainty,0.28437917222963954,5.410400403025141
RICA2 uncertainty,0.2857142857142857,5.386854488914395
RICA2 uncertainty,0.2870493991989319,5.380721195745604
RICA2 uncertainty,0.2883845126835781,5.379010531254524
RICA2 uncertainty,0.2897196261682243,5.378721484229446
RICA2 uncertainty,0.2910547396528705,5.362299039474592
RICA2 uncertainty,0.2923898531375167,5.340605472409287
RICA2 uncertainty,0.2937249666221629,5.341224376268005
RICA2 uncertainty,0.29506008010680906,5.35455440496562
RICA2 uncertainty,0.2963951935914553,5.35748196542934
RICA2 uncertainty,0.2977303070761015,5.374595603680928
RICA2 uncertainty,0.29906542056074764,5.383920221722549
RICA2 uncertainty,0.30040053404539385,5.363985534621606
RICA2 uncertainty,0.30173564753004006,5.371966680126113
RICA2 uncertainty,0.3030707610146863,5.379171174377331
RICA2 uncertainty,0.30440587449933243,5.3945611422064506
RICA2 uncertainty,0.30574098798397864,5.455418496471563
RICA2 uncertainty,0.30707610146862485,5.451334174929752
RICA2 uncertainty,0.308411214953271,5.428016103507376
RICA2 uncertainty,0.3097463284379172,5.4711597079668035
RICA2 uncertainty,0.31108144192256343,5.474327646387746
RICA2 uncertainty,0.31241655540720964,5.489103688280549
RICA2 uncertainty,0.3137516688918558,5.471465501322388
RICA2 uncertainty,0.315086782376502,5.4719758333733
RICA2 uncertainty,0.3164218958611482,5.459918143773127
RICA2 uncertainty,0.3177570093457944,5.443373835644048
RICA2 uncertainty,0.3190921228304406,5.425758299593144
RICA2 uncertainty,0.3204272363150868,5.467716961229838
RICA2 uncertainty,0.32176234979973295,5.465202585715968
RICA2 uncertainty,0.32309746328437916,5.463948105411093
RICA2 uncertainty,0.32443257676902537,5.468346077645264
RICA2 uncertainty,0.3257676902536716,5.462377746958955
RICA2 uncertainty,0.32710280373831774,5.448750201037949
RICA2 uncertainty,0.32843791722296395,5.440355793023252
RICA2 uncertainty,0.32977303070761016,5.426558456910764
RICA2 uncertainty,0.3311081441922563,5.410755221245267
RICA2 uncertainty,0.3324432576769025,5.421087734724382
RICA2 uncertainty,0.33377837116154874,5.425383136653898
RICA2 uncertainty,0.33511348464619495,5.422160667008848
RICA2 uncertainty,0.3364485981308411,5.414820253925898
RICA2 uncertainty,0.3377837116154873,5.420386017623388
RICA2 uncertainty,0.3391188251001335,5.410937208116169
RICA2 uncertainty,0.3404539385847797,5.444601784815974
RICA2 uncertainty,0.3417890520694259,5.433721446775596
RICA2 uncertainty,0.3431241655540721,5.430744234394236
RICA2 uncertainty,0.3444592790387183,5.52039748563958
RICA2 uncertainty,0.34579439252336447,5.501863227367514
RICA2 uncertainty,0.3471295060080107,5.518189784732574
RICA2 uncertainty,0.3484646194926569,5.501537910100941
RICA2 uncertainty,0.34979973297730305,5.53347874473183
RICA2 uncertainty,0.35113484646194926,5.51315438297538
RICA2 uncertainty,0.35246995994659547,5.5148756434237844
RICA2 uncertainty,0.3538050734312417,5.503273978775963
RICA2 uncertainty,0.35514018691588783,5.498174608988979
RICA2 uncertainty,0.35647530040053405,5.486700688444829
RICA2 uncertainty,0.35781041388518026,5.501545368438001
RICA2 uncertainty,0.3591455273698264,5.524978742731879
RICA2 uncertainty,0.3604806408544726,5.527780230053596
RICA2 uncertainty,0.36181575433911883,5.507883393530805
RICA2 uncertainty,0.36315086782376504,5.515759840040631
RICA2 uncertainty,0.3644859813084112,5.529307584887567
RICA2 uncertainty,0.3658210947930574,5.727043489385803
RICA2 uncertainty,0.3671562082777036,5.724418881083076
RICA2 uncertainty,0.3684913217623498,5.710710354351802
RICA2 uncertainty,0.369826435246996,5.694119174461071
RICA2 uncertainty,0.3711615487316422,5.677513277109899
RICA2 uncertainty,0.3724966622162884,5.675468197609146
RICA2 uncertainty,0.37383177570093457,5.65784496440419
RICA2 uncertainty,0.3751668891855808,5.671973683764606
RICA2 uncertainty,0.376502002670227,5.6861351885033615
RICA2 uncertainty,0.37783711615487314,5.6709348850268135
RICA2 uncertainty,0.37917222963951935,5.654633997976254
RICA2 uncertainty,0.38050734312416556,5.777694764532017
RICA2 uncertainty,0.3818424566088118,5.764121450887588
RICA2 uncertainty,0.38317757009345793,5.748460720186137
RICA2 uncertainty,0.38451268357810414,5.7446528776264225
RICA2 uncertainty,0.38584779706275035,5.725542461008452
RICA2 uncertainty,0.3871829105473965,5.772680028350702
RICA2 uncertainty,0.3885180240320427,5.790584011998066
RICA2 uncertainty,0.38985313751668893,5.80862555781711
RICA2 uncertainty,0.39118825100133514,5.798527871761406
RICA2 uncertainty,0.3925233644859813,5.783069587688969
RICA2 uncertainty,0.3938584779706275,5.790014894001058
RICA2 uncertainty,0.3951935914552737,5.812395933081672
